1,Nguyen Van A,nguyenvana@gmail.com,1990/01/01,password123
2,Tran Thi B,tranthib@example.com,1991/02/02,mypassword456
3,Le Van C,levanc@gmail.com,1992/03/03,secure789
4,PhamThi D,phamthid@gmail.com,1993/04/04,password321
5,Ngo Van E,ngovan@gmail.com,1994/05/05,qwerty123
6,Dang Thi F,dangthif@gmail.com,1995/06/06,iloveyou456
7,Bui Van G,buivang@gmail.com,1996/07/07,admin789
8,Vu Thi H,vuthih@gmail.com,1997/08/08,123456789
9,Nguyen Van L,nguyenvani@gmail.com,1998/09/09,welcome123
10,Tran Van J,tranvanj@gmail.com,1999/10/10,letmein456
